ID,Category,SubCategory,Task Description,Owner,Date Set,Status,Priority,Milestone,Date Completed,Comments
1,House,Plumbing,Contact plumber,Minu,"June 10, 2026",Not Started,P0,Seattle Trip,,
2,House,Plumbing,Replace angle stops under kitchen and guest bathroom 1,Minu,"June 10, 2026",Not Started,P1,Seattle Trip,,
3,House,Plumbing,Reseat master bathroom toilet,Minu,"June 10, 2026",Not Started,P1,Seattle Trip,,
4,House,Plumbing,Replace exterior hose bib,Minu,"June 10, 2026",Not Started,P1,Seattle Trip,,
5,House,Plumbing,Fix irrigation valve,Minu,"June 10, 2026",Not Started,P1,Seattle Trip,,
6,House,Plumbing,Seal air gap under kitchen sink,Minu,"June 10, 2026",Not Started,P1,Seattle Trip,,
7,Personal,Electronics,Buy windows laptop,Minu,"June 1, 2026",In Progress,P1,Seattle Trip,,
8,House,Electrical,Contact electrician on Thumbtack,Hrishi,"May 1, 2026",Not Started,P0,Seattle Trip,,
9,House,Electrical,Replace manual light switches with Wi-Fi controlled automated switches,Hrishi,"May 1, 2026",Not Started,P1,Sedona Trip,,
10,House,Handywork,Contact Tilek,Hrishi,"April 1, 2026",Not Started,P0,Seattle Trip,,
11,House,Handywork,Replace curtain rods in living room,Hrishi,"April 1, 2026",Not Started,P1,Sedona Trip,,
12,House,Handywork,Restain main door,Hrishi,"April 1, 2026",Not Started,P1,Sedona Trip,,
13,House,Handywork,Replace mailbox,Hrishi,"April 1, 2026",Not Started,P1,Sedona Trip,,
14,Personal,Electronics,Buy macbook,Hrishi,"June 1, 2026",In Progress,P1,Sedona Trip,,
15,Personal,Dental,Schedule sinus graft and request sedation,Hrishi,"June 24, 2026",In Progress,P0,Seattle Trip,,